Nº de producto;Estado;Disponible para la venta;Disponible para la compra;Disponible para integrar otros productos;Compuesto por otros productos;Rubro;Nombre;Código;Código universal de producto (UPC);Código de proveedor;Stock actual;Stock ideal;Stock mínimo;Unidad;Alicuota de IVA;Proveedor;Moneda costo;Costo ($);Utilidad (%);Precio ($);Precio Final ($);Controla stock;Stock negativo;Mostrar en tienda;Nº de publicación en MercadoLibre;Nº de publicación adicional en MercadoLibre;Descripción;Descripción para la tienda;Observaciones Internas;
2;Habilitado;SI;SI;NO;NO;Sin especificar;productos prueba;'pp;'';'';9,000;0,000;0,000;unidad;21%;Sin especificar;Pesos;5,60;50,00;8,40;10,16;SI;SI;NO;0;0;
110;Habilitado;SI;SI;NO;NO;04 Vinilo de corte e impresion Oracal 5200;ORALITE 5200-49 AZUL 61CM  ;'520049-61;'';''520049-61;3,000;0,000;0,000;metro;21%;Insugraf;Pesos;17195,15;30,00;22353,70;27047,98;SI;SI;NO;0;0;
111;Habilitado;SI;SI;NO;NO;04 Vinilo de corte e impresion Oracal 5200;ORALITE 5200-VERDE 122CM  ;'520060;'';''520060;0,000;0,000;0,000;metro;21%;Insugraf;Pesos;34390,28;30,00;44707,36;54095,91;SI;SI;NO;0;0;
112;Habilitado;SI;SI;NO;NO;04 Vinilo de corte e impresion Oracal 5200;ORALITE 5200-VERDE 61CM  ;'520060-61;'';''520060-61;1,500;0,000;0,000;metro;21%;Insugraf;Pesos;17195,15;30,00;22353,70;27047,98;SI;SI;NO;0;0;
113;Habilitado;SI;SI;NO;NO;05 Vinilo Reflectivo Oracal 6710 panal de abejas;6710-010 WHITE ORAFOL PRISMATIC 123.5CM ;'671010;'';''671010;-19,000;10,000;0,000;metro;21%;Insugraf;Pesos;39623,58;30,00;51510,65;62327,89;SI;SI;NO;0;0;
114;Habilitado;SI;SI;NO;NO;05 Vinilo Reflectivo Oracal 6710 panal de abejas;6710-020 YELLOW ORAFOL PRISMATIC 123.5CM ;'671020;'';''671020;-3,000;5,000;0,000;metro;21%;Insugraf;Pesos;39623,58;30,00;51510,65;62327,89;SI;SI;NO;0;0;
115;Habilitado;SI;SI;NO;NO;05 Vinilo Reflectivo Oracal 6710 panal de abejas;6710-030 RED ORAFOL PRISMATIC 123.5CM ;'671030;'';''671030;0,000;0,000;0,000;metro;21%;Insugraf;Pesos;39623,58;30,00;51510,65;62327,89;SI;SI;NO;0;0;
116;Habilitado;SI;SI;NO;NO;05 Vinilo Reflectivo Oracal 6710 panal de abejas;6710-034 ORANGE ORAFOL PRISMATIC 123.5CM ;'671034;'';''671034;0,000;0,000;0,000;metro;21%;Insugraf;Pesos;39623,58;30,00;51510,65;62327,89;SI;SI;NO;0;0;
117;Habilitado;SI;SI;NO;NO;05 Vinilo Reflectivo Oracal 6710 panal de abejas;6710-050 BLUE ORAFOL PRISMATIC 123.5CM ;'671050;'';''671050;0,000;0,000;0,000;metro;21%;Insugraf;Pesos;39623,58;30,00;51510,65;62327,89;SI;SI;NO;0;0;
118;Habilitado;SI;SI;NO;NO;05 Vinilo Reflectivo Oracal 6710 panal de abejas;6710-060 GREEN ORAFOL PRISMATIC 123.5CM ;'671060;'';''671060;-3,000;0,000;0,000;metro;21%;Insugraf;Pesos;39623,58;30,00;51510,65;62327,89;SI;SI;NO;0;0;
119;Habilitado;SI;SI;NO;NO;05 Vinilo Reflectivo Oracal 6710 panal de abejas;6710-080 BROWN ORAFOL PRISMATIC 123.5CM;'671080;'';''671080;0,000;0,000;0,000;metro;21%;Insugraf;Pesos;39623,58;30,00;51510,65;62327,89;SI;SI;NO;0;0;
120;Habilitado;SI;SI;NO;NO;02 Reflectivos de Impresión;REFLECTIVO COM. IMPRESION HC P300 BLANCO 61CM FRACCIONADO;'HCP30061;'';''HCP30061;0,000;0,000;0,000;metro;21%;Grafisur;Pesos;4355,05;30,00;5661,57;6850,50;SI;SI;NO;0;0;
121;Habilitado;SI;SI;NO;NO;02 Reflectivos de Impresión;REFLECTIVO COM. IMPRESION HC P300 BLANCO  124CM X FRACCIONADO;'HCP300124;'';''HCP300124;0,000;0,000;0,000;metro;21%;Grafisur;Pesos;8710,07;30,00;11323,09;13700,94;SI;SI;NO;0;0;
124;Habilitado;SI;SI;NO;NO;02 Vinilos Microperforado;MICROPERFORADO SOLIDEX 100MIC  X 107CM FRACCIONADO;'SOM106F;'';''SOM106F;0,000;0,000;0,000;metro;21%;DIGRAFICA SRL;Pesos;4410,93;50,00;6616,40;8005,84;SI;SI;NO;0;0;
131;Habilitado;SI;SI;NO;NO;Oraguard 215;ORAGUARD 215 BRILLANTE  X 137CM X 50MTS.;'OG215137;'';''OG215137;-1,000;0,000;0,000;unidad;21%;Helioday;Pesos;598796,29;24,10;743106,20;899158,50;SI;SI;NO;0;0;
132;Habilitado;SI;SI;NO;NO;Oraguard 215;ORAGUARD 215 BRILLANTE X 155CM X 50MTS;'OG215155;'';''OG215155;-4,000;1,000;1,000;unidad;21%;Helioday;Pesos;677470,50;24,10;840740,89;1017296,48;SI;SI;NO;0;0;
133;Habilitado;SI;SI;NO;NO;Oraguard 215;ORAGUARD 215 BRILLANTE X 155CM FRACCIONADO;'OG215155F;'';''OG215155F;3,000;0,000;0,000;metro;21%;Insugraf;Pesos;17015,49;60,00;27224,78;32941,98;SI;SI;NO;0;0;
134;Habilitado;SI;SI;NO;NO;Oraguard 215;ORAGUARD 215 MATE X 155CM X 50MTS;'OG215155M;'';''OG215155M;0,000;1,000;1,000;unidad;21%;Helioday;Pesos;677470,50;24,10;840740,89;1017296,48;SI;SI;NO;0;0;
